name,category,instructions,glass,glass-size,ingredients,measurements
The Joe Lewis,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Scotch Whiskey,   carrot juice,  Tawny port,  Lemon juice,  Agave nectar","1 1/2 oz  Scotch Whiskey, 1 oz   carrot juice, 3/4 oz  Tawny port, 1/2 oz  Lemon juice, 1 oz  Agave nectar"
Bacardi Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Bacardi Rum,  Lime Juice,  Grenadine","1 1/2 oz  Bacardi Rum, 1/2 oz  Lime Juice, 1/2 oz  Grenadine"
Apple Pie No. 1,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Sweet Vermouth,  Apple Brandy,  Grenadine,  Lemon Juice","3/4 oz  Light Rum, 3/4 oz  Sweet Vermouth, 1 oz  Apple Brandy, 1/2 oz  Grenadine, 1 oz  Lemon Juice"
Yolanda,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces," Brandy,  Gin,  Anisette,  Sweet Vermouth,  Grenadine","1/2 oz  Brandy, 1/2 oz  Gin, 1/2 oz  Anisette, 1 oz  Sweet Vermouth, 1 oz  Grenadine"
Yellow Rattler,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a cocktail onion.,Cocktail Glass,6 or more ounces," Gin,  Orange Juice,  Dry Vermouth,  Sweet Vermouth","1 oz  Gin, 1 oz  Orange Juice, 1/2 oz  Dry Vermouth, 1/2 oz  Sweet Vermouth"
Why Not?,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Apricot Flavored Brandy,  Dry Vermouth,  Lemon Juice","1 oz  Gin, 1 oz  Apricot Flavored Brandy, 1/2 oz  Dry Vermouth, 1 oz  Lemon Juice"
Amaretto Stinger,Cordials and Liqueurs,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Amaretto,  White creme de menthe","1 1/2 oz  Amaretto, 3/4 oz  White creme de menthe"
What The Hell,Cocktail Classics,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Gin,  Dry Vermouth,  Apricot Flavored Brandy,  Lemon Juice","1 oz  Gin, 1 oz  Dry Vermouth, 1 oz  Apricot Flavored Brandy, 1 oz  Lemon Juice"
Webster Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lime Juice,  Apricot Flavored Brandy,  Dry Vermouth,  Gin","1/2 oz  Lime Juice, 1 1/2 oz  Apricot Flavored Brandy, 1/2 oz  Dry Vermouth, 1 oz  Gin"
Union Jack Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sloe gin,  Gin,  Grenadine","3/4 oz  Sloe gin, 1 1/2 oz  Gin, 1/2 oz  Grenadine"
Jocose Julep,Whiskies,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,14 to 16 ounces," whiskey,  Green creme de menthe,  Lemon juice,  Simple Syrup,   mint leaves,  Soda water","2 1/2 oz  whiskey, 1/2 oz  Green creme de menthe, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 5 oz   mint leaves,   Soda water"
Trinity Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Dry Vermouth,  Gin","3/4 oz  Sweet Vermouth, 3/4 oz  Dry Vermouth, 3/4 oz  Gin"
Three Stripes Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Orange Juice","1 oz  Gin, 1/2 oz  Dry Vermouth, 1 oz  Orange Juice"
Tanq-A-Rita,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Tanqueray gin,  Margarita Mix,  Triple Sec","1 1/2 oz  Tanqueray gin, 3 oz  Margarita Mix, 1 oz  Triple Sec"
Amaretto Sour,Cordials and Liqueurs,Shake with ice and strain into chilled sour glass. Garnish with orange.,Cordial or Pony Glass,2 to 3 ounces," Amaretto,  Lemon juice,  Simple Syrup,  Orange half-wheel","1 1/2 oz  Amaretto, 3/4 oz  Lemon juice, 1/2 oz  Simple Syrup, 1  Orange half-wheel"
Tailspin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.,Cocktail Glass,6 or more ounces," Gin,  Sweet Vermouth,  Green Chartreuse,  Orange Bitters","3/4 oz  Gin, 3/4 oz  Sweet Vermouth, 3/4 oz  Green Chartreuse, 1 oz  Orange Bitters"
Sweet Patootie Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Triple Sec,  Orange Juice","1 oz  Gin, 1/2 oz  Triple Sec, 1 oz  Orange Juice"
Sunshine Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Gin,  Bitters","3/4 oz  Sweet Vermouth, 1 1/2 oz  Gin, 1 oz  Bitters"
Spring Feeling Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Green Chartreuse,  Gin","1 oz  Lemon Juice, 1/2 oz  Green Chartreuse, 1 oz  Gin"
Sphinx Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a slice of lemon.,Cocktail Glass,6 or more ounces," Gin,  Sweet Vermouth,  Dry Vermouth","1 1/2 oz  Gin, 1 1/2 oz  Sweet Vermouth, 1 1/2 oz  Dry Vermouth"
Jitterbug Sour,Whiskies,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Benedictine,  Lemon juice,  Honey Syrup,  Egg White,  Angostura Bitters","2 oz  Straight rye whiskey, 1/2 oz  Benedictine, 3/4 oz  Lemon juice, 1/2 oz  Honey Syrup, 1 oz  Egg White, 1 dash  Angostura Bitters"
Southern Gin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Gin,  Orange Bitters,  Triple Sec","2 oz  Gin, 2 oz  Orange Bitters, 1/2 oz  Triple Sec"
Society Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Grenadine","1 1/2 oz  Gin, 3/4 oz  Dry Vermouth, 1/4 oz  Grenadine"
Snyder,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Triple Sec","1 1/2 oz  Gin, 1/2 oz  Dry Vermouth, 1/2 oz  Triple Sec"
Smiler Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Dry Vermouth,  Gin,  Bitters,  Orange Juice","1/2 oz  Sweet Vermouth, 1/2 oz  Dry Vermouth, 1 oz  Gin, 1 oz  Bitters, 1/4 oz  Orange Juice"
Smile Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Grenadine,  Gin,  Lemon Juice","1 oz  Grenadine, 1 oz  Gin, 1/2 oz  Lemon Juice"
Amaretto Rose,Cordials and Liqueurs,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.,Collins Glass,14 to 16 ounces," Amaretto,  Lemon juice,  Simple Syrup,  Soda water","1 1/2 oz  Amaretto, 1/2 oz  Lemon juice, 1/2 oz  Simple Syrup,   Soda water"
Sand-Martin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Green Chartreuse,  Sweet Vermouth,  Gin","1 oz  Green Chartreuse, 1 1/2 oz  Sweet Vermouth, 1 1/2 oz  Gin"
Irish Whiskey Highball,Whiskies,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Highball Glass,7 to 10 ounces," Irish Whiskey,  Ginger ale,  Lemon twist ","2 oz  Irish Whiskey, 1 oz  Ginger ale, 1 oz  Lemon twist (optional)"
Japanese,Brandy,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Brandy,  almond syrup,  Angostura Bitters,  Lemon twist","2 oz  Brandy, 1/2 oz  orgeat or almond syrup, 2 oz  Angostura Bitters,   Lemon twist"
Roselyn Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Gin,  Grenadine","3/4 oz  Dry Vermouth, 1 1/2 oz  Gin, 1/2 oz  Grenadine"
Resolute Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Apricot Flavored Brandy,  Gin","1/4 oz  Lemon Juice, 1/2 oz  Apricot Flavored Brandy, 1 oz  Gin"
Racquet Club Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Orange Bitters","1 1/2 oz  Gin, 3/4 oz  Dry Vermouth, 1 oz  Orange Bitters"
Amaretto And Cream,Cordials and Liqueurs,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Amaretto,  half-and-half","1 1/2 oz  Amaretto, 1 1/2 oz  half-and-half"
Pollyanna Cocktai,Cocktail Classics,Muddle ingredients. Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Orange,  Pineapple ,  Gin,  Sweet Vermouth,  Grenadine","3 oz  Orange, 3 oz  Pineapple , 2 oz  Gin, 1/2 oz  Sweet Vermouth, 1/2 oz  Grenadine"
Plaza Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a strip of pineapple.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Dry Vermouth,  Gin","3/4 oz  Sweet Vermouth, 3/4 oz  Dry Vermouth, 3/4 oz  Gin"
Irish Whiskey Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass. Garnish with olive.,Cocktail Glass,6 or more ounces," Irish Whiskey,  Triple Sec,  Anisette,  Maraschino liqueur,  Angostura Bitters,  Green olive","2 oz  Irish Whiskey, 1/2 oz  Triple Sec, 1/2 oz  Anisette, 1/4 oz  Maraschino liqueur, 1 oz  Angostura Bitters, 1  Green olive"
Absinthe Special Cocktail,Cordials and Liqueurs,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Absinthe,  Simple Syrup,  Orange Bitters","1 1/2 oz  Absinthe, 1/4 oz  Simple Syrup, 1 oz  Orange Bitters"
Nineteenth Hole,Cocktail Classics,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Sweet Vermouth,  Bitters","1 1/2 oz  Gin, 1 oz  Dry Vermouth, 1 oz  Sweet Vermouth, 1 oz  Bitters"
Montreal Club Bouncer,Cocktail Classics,Pour into old-fashioned glass over ice cubes. Stir.,Old-Fashioned Glass,6 to 8 ounces," Gin,  Anisette","1 1/2 oz  Gin, 1/2 oz  Anisette"
Monte Carlo Imperial Highball,Cocktail Classics,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.,Highball Glass,7 to 10 ounces," Gin,  White creme de menthe,  Lemon Juice,  Chilled Champagne","2 oz  Gin, 1/2 oz  White creme de menthe, 1/4 oz  Lemon Juice,   Chilled Champagne"
Irish Shillelagh,Whiskies,"Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and cherry.",Irish Coffee Glass,8 to 9 ounces," Irish Whiskey,  Light Rum,  Gin,  Lemon juice,  Simple Syrup,   raspberries,strawberries, 2 peach slices, maraschino cherry","1 1/2 oz  Irish Whiskey, 1 oz  Light Rum, 1/2 oz  Gin, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 1   raspberries and strawberries, 2 peach slices, maraschino cherry"
Melon Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Gin,  Lemon Juice,  Maraschino","2 oz  Gin, 1/4 oz  Lemon Juice, 1/4 oz  Maraschino"
Martini (Medium),Cocktail Classics,Follow directions for Martini preparation.,,," Gin,  Dry Vermouth,  Sweet Vermouth","1 1/2 oz  Gin, 1/2 oz  Dry Vermouth, 1/2 oz  Sweet Vermouth"
Martini (Dry) (5-to-1),Cocktail Classics,Follow directions for Martini preparation.,,," Gin,  Dry Vermouth","1 2/3 oz  Gin, 1/3 oz  Dry Vermouth"
Mamie's Sister,Cocktail Classics,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir.",Collins Glass,14 to 16 ounces," Lime Juice,  Gin,  Ginger ale","1 oz  Lime Juice, 2 oz  Gin,   Ginger ale"
Irish Rickey,Whiskies,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with lime.,Highball Glass,7 to 10 ounces," Irish Whiskey,  Lemon juice,  Soda water,  Lime wedge","1 1/2 oz  Irish Whiskey, 1/2 oz  Lemon juice, 1 oz  Soda water, 1 oz  Lime wedge"
Maiden's Prayer,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Triple Sec,  Lemon Juice","1 1/2 oz  Gin, 1/2 oz  Triple Sec, 1 oz  Lemon Juice"
Lone Tree Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Gin","3/4 oz  Sweet Vermouth, 1 1/2 oz  Gin"
London Buck,Cocktail Classics,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.,Highball Glass,7 to 10 ounces," Gin,  Lemon Juice,  Ginger ale","2 oz  Gin, 1/2 oz  Lemon Juice,   Ginger ale"
Leap Frog Highball,Cocktail Classics,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Gin,  Ginger ale","1/2 oz  Lemon Juice, 2 oz  Gin,   Ginger ale"
Incider Cocktail,Whiskies,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with apple.,Old-Fashioned Glass,6 to 8 ounces," Whiskey,  Apple cider,  Apple slice","1 1/2 oz  Whiskey, 4 oz  Apple cider, 1 oz  Apple slice"
Kup's Indispensable Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Light Vermouth,  Dry Vermouth,  Gin,  Bitters","1/2 oz  Light Vermouth, 1/2 oz  Dry Vermouth, 1 1/2 oz  Gin, 1 oz  Bitters"
Knock-Out Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Anisette,  Gin,  Dry Vermouth,  Creme de Menthe (White)","1/2 oz  Anisette, 3/4 oz  Gin, 3/4 oz  Dry Vermouth, 1 oz  Creme de Menthe (White)"
K. G. B. Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Kummel,  Gin,  Apricot Flavored Brandy,  Lemon Juice","1/2 oz  Kummel, 1 1/2 oz  Gin, 1/4 oz  Apricot Flavored Brandy, 1/4 oz  Lemon Juice"
Imperial Fizz,Whiskies,Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.,Highball Glass,7 to 10 ounces," Bourbon Whiskey,  Light Rum,  Lemon juice,  Simple Syrup,  Soda water","1 1/2 oz  Bourbon or Rye Whiskey, 1/2 oz  Light Rum, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 1 oz  Soda water"
Jeyplak Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Gin,  Sweet Vermouth,  Anisette","1 1/2 oz  Gin, 3/4 oz  Sweet Vermouth, 1/4 oz  Anisette"
H. P. W. Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Sweet Vermouth,  Gin","1 1/2 oz  Dry Vermouth, 1 1/2 oz  Sweet Vermouth, 1 1/2 oz  Gin"
I.A.P.,Whiskies,Build in ice-filled Collins glass.,Collins Glass,14 to 16 ounces," Tennessee whiskey,  Fernet-Branca,  Cola","2 oz  Tennessee whiskey, 1/4 oz  Fernet-Branca, 3 oz  Cola"
Hotel Plaza Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Decorate with a slice of pineapple.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Dry Vermouth,  Gin","3/4 oz  Sweet Vermouth, 3/4 oz  Dry Vermouth, 3/4 oz  Gin"
Hoffman House Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Gin","3/4 oz  Dry Vermouth, 1 1/2 oz  Gin"
Hawaiin Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Pineapple Juice,  Triple Sec","2 oz  Gin, 1 oz  Pineapple Juice, 1/2 oz  Triple Sec"
White Russian,Vodka,Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.,Old-Fashioned Glass,6 to 8 ounces," Vodka,  Coffee liqueur,  milk","2 oz  Vodka, 1 oz  Coffee liqueur,   Milk or half-and-half"
Greyhound,Cocktail Classics,Pour into highball glass over ice cubes. Stir well.,Highball Glass,7 to 10 ounces," Gin,  Grapefruit Juice","1 1/2 oz  Gin, 5 oz  Grapefruit Juice"
Green Devil,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.,Old-Fashioned Glass,6 to 8 ounces," Gin,  Green creme de menthe,  Lime Juice","1 1/2 oz  Gin, 1 1/2 oz  Green creme de menthe, 1 oz  Lime Juice"
Greenback,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Gin,  Green creme de menthe,  Lemon Juice","1 1/2 oz  Gin, 1 oz  Green creme de menthe, 1 oz  Lemon Juice"
Grapefruit Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Grapefruit Juice,  Gin,  Maraschino","1 oz  Grapefruit Juice, 1 oz  Gin, 1 oz  Maraschino"
Hotel D'alsace,Whiskies,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with remaining half-sprig of rosemary.,Old-Fashioned Glass,6 to 8 ounces,"  rosemary sprig,  Irish Whiskey,  Benedictine,  Triple Sec","1 oz   rosemary sprig, 2 oz  Irish Whiskey, 1/2 oz  Benedictine, 1/2 oz  Triple Sec"
Jamaica Granito,Brandy,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,14 to 16 ounces," Brandy,  Triple Sec,  Lemon Juice","1 1/2 oz  Brandy, 1 oz  Triple Sec, 1 oz  Lemon Juice,  Soda water ,  ly grated nutmeg "
Gin Sling,Cocktail Classics,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Add a twist of orange peel.,Old-Fashioned Glass,6 to 8 ounces," Powdered Sugar,  Water,  Lemon Juice,  Gin","1 oz  Powdered Sugar, 1 oz  Water, 1/2 oz  Lemon Juice, 2 oz  Gin"
Gin Milk Punch,Cocktail Classics,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces," Powdered Sugar,  Gin,  Milk","1 oz  Powdered Sugar, 2 oz  Gin, 1 oz  Milk"
Horse's Neck (With A Kick),Whiskies,Insert the lemon spiral in Collins glass with one end hanging over the rim. Fill glass with ice cubes. Add whiskey. Fill with ginger ale and stir well.,Collins Glass,14 to 16 ounces," Wide spiral of lemon zest,  whiskey,  Ginger ale","1 oz  Wide spiral of lemon zest, 2 oz  whiskey, 1 oz  Ginger ale"
Gin and It,Cocktail Classics,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,6 or more ounces," Gin,  Sweet Vermouth","2 oz  Gin, 1 oz  Sweet Vermouth"
Gin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a twist of lemon peel.,Cocktail Glass,6 or more ounces," Gin,  Bitters","2 oz  Gin, 2 oz  Bitters"
West Side,Vodka,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.,Cocktail Glass,6 or more ounces," lemon-flavored vodka,  Lemon juice,  Simple Syrup,   mint leaves","1 1/2 oz  lemon-flavored vodka, 3/4 oz  Lemon juice, 1/2 oz  Simple Syrup, 6   mint leaves,  Soda water "
Gimlet ,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lime Juice,  Powdered Sugar,  Gin","1 oz  Lime Juice, 1 oz  Powdered Sugar, 1 1/2 oz  Gin"
Free Silver,Cocktail Classics,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,14 to 16 ounces," Lemon Juice,  Powdered Sugar,  Gin,  Dark rum,  Milk,  Club Soda","1/4 oz  Lemon Juice, 1/2 oz  Powdered Sugar, 1 1/2 oz  Gin, 1/2 oz  Dark rum, 1 oz  Milk,   Club Soda"
Fog Horn,Cocktail Classics,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Add a slice of lime.,Highball Glass,7 to 10 ounces," Lime Juice,  Gin & ginger ale,  Gin,  Triple Sec","1/2 oz  Lime Juice, 1 1/2 oz  Gin & ginger ale, 2 oz  Gin, 1 oz  Triple Sec"
Flying Dutchman,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Gin,  Triple Sec","2 oz  Gin, 1 oz  Triple Sec"
Hoot Mon Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Sweet Vermouth,  Benedictine,  Lemon twist","1 1/2 oz  Blended Scotch Whiskey, 3/4 oz  Sweet Vermouth, 1 oz  Benedictine,   Lemon twist"
Fifty-Fifty Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth","1 1/2 oz  Gin, 1 1/2 oz  Dry Vermouth"
Favorite Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Apricot Flavored Brandy,  Dry Vermouth,  Gin,  Lemon Juice","3/4 oz  Apricot Flavored Brandy, 3/4 oz  Dry Vermouth, 3/4 oz  Gin, 1/4 oz  Lemon Juice"
Farmer's Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Sweet Vermouth,  Bitters","1 oz  Gin, 1/2 oz  Dry Vermouth, 1/2 oz  Sweet Vermouth, 2 oz  Bitters"
Warsaw Cocktail,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Blackberry-flavored brandy,  Dry Vermouth,  Lemon juice","1 1/2 oz  Vodka, 1/2 oz  Blackberry-flavored brandy, 1/2 oz  Dry Vermouth, 1 oz  Lemon juice"
Emerald Isle Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Green creme de menthe,  Bitters","2 oz  Gin, 1 oz  Green creme de menthe, 3 oz  Bitters"
Du Barry Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a slice of orange.,Cocktail Glass,6 or more ounces," Bitters,  Dry Vermouth,  Anisette,  Gin","1 oz  Bitters, 3/4 oz  Dry Vermouth, 1/2 oz  Anisette, 1 1/2 oz  Gin"
Dry Martini (5-to-1),Cocktail Classics,"Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Serve with a twist of lemon peel or olive, if desired.",Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth","1 2/3 oz  Gin, 1/3 oz  Dry Vermouth"
